VALUE,6309,6310,6311,6312,6313,6314,6315,6316,6317,6318,6319,6320,6321,6322,6323,6324,6325,6326,6327,6328,6329,6330,6331,6332,6333,6334,6335,6336,6337,6338,6339,6340,6341,6342,6343,6344,6345,6346,6347,6348,6349,6350,6351
2025 Market Value," $735,026 "," $663,907 "," $569,992 "," $602,427 "," $460,28 "," $968,766 "," $550,119 "," $709,604 "," $580,969 "," $480,134 "," $467,935 "," $610,318 "," $538,409 "," $1,218,146 "," $534,991 "," $645,249 "," $511,115 "," $594,432 "," $498,357 "," $491,374 "," $511,166 "," $418,286 "," $580,180 "," $570,962 "," $537,870 "," $469,010 "," $610,407 "," $525,573 "," $521,957 "," $530,604 "," $555,046 "," $469,131 "," $538,374 "," $532,125 "," $556,802 "," $504,815 "," $531,620 "," $573,558 "," $434,345 "," $531,703 "," $514,098 "," $498,815 ",
Total Improvement Market Value," $677,026 "," $603,222 "," $511,992 "," $538,677 "," $415,135 "," $888,796 "," $505,175 "," $642,133 "," $536,025 "," $432,539 "," $422,991 "," $553,356 "," $494,642 "," $1,116,617 "," $488,260 "," $572,105 "," $466,171 "," $549,221 "," $453,413 "," $446,221 "," $467,161 "," $373,092 "," $535,439 "," $526,673 "," $492,212 "," $423,898 "," $564,749 "," $479,498 "," $476,299 "," $484,488 "," $509,388 "," $422,975 "," $492,716 "," $485,922 "," $511,144 "," $458,572 "," $485,962 "," $527,274 "," $390,839 "," $485,373 "," $465,906 "," $454,532 ",
Total Land Market Value," $58,000 "," $60,685 "," $58,000 "," $63,750 "," $45,153 "," $79,970 "," $44,944 "," $67,471 "," $44,944 "," $47,595 "," $44,944 "," $56,962 "," $43,767 "," $101,529 "," $46,731 "," $73,144 "," $44,944 "," $45,211 "," $44,944 "," $45,153 "," $44,005 "," $45,194 "," $44,741 "," $44,289 "," $45,658 "," $45,112 "," $45,658 "," $46,075 "," $45,658 "," $46,116 "," $45,658 "," $46,156 "," $45,658 "," $46,203 "," $45,658 "," $46,243 "," $45,658 "," $46,284 "," $43,506 "," $46,330 "," $48,192 "," $44,283 ",
Homestead Cap Loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Main Area (Sq. Ft.),"3,905","3,898","3,611","3,786","2,747","2,591","3,132","3,472","3,460","3,392","2,902","3,477","3,365","3,580","3,358","4,011","3,164","3,490","3,033","2,994","3,158","2,758","3,408","3,862","3,338","2,758","2,676","3,272","3,178","3,259","3,034","3,543","3,296","3,232","3,503","3,135","3,286","3,379","2,901","3,227","3,121","3,064",0
Main Area (Sq. Ft.),"3,192","3,226","3,036","2,877","2,241","2,041","2,582","3,147","2,910","2,842","2,382","2,925","2,773","3,097","2,806","3,219","2,636","2,962","2,527","2,444","2,652","2,252","2,902","2,743","2,809","2,279","2,148","2,697","2,628","2,707","2,696","2,991","2,768","2,745","2,927","2,610","2,758","2,851","2,417","2,743","2,593","2,514",
Main Area (Value) ," $558,004 ", $-   ," $447,924 "," $432,168 "," $376,845 "," $367,600 "," $433,934 "," $570,725 "," $474,970 "," $374,951 "," $385,155 "," $482,340 "," $451,287 "," $624,126 "," $448,552 "," $515,077 "," $427,626 "," $483,458 "," $415,934 "," $405,188 "," $430,222 "," $338,833 "," $468,781 "," $444,984 "," $453,758 "," $387,270 "," $331,544 "," $437,522 "," $435,303 "," $443,767 "," $441,963 "," $390,541 "," $453,766 "," $449,996 "," $443,268 "," $419,843 "," $447,417 "," $460,543 "," $358,531 "," $449,668 "," $426,798 "," $413,794 ",
Garage (Sq. Ft.),713,672,575,909,506,550,550,325,550,550,520,552,592,483,552,792,528,528,506,550,506,506,506,"1,119",529,479,528,575,550,552,338,552,528,487,576,525,528,528,484,484,528,550,
Garage (Value)," $56,089 ", $-   ," $38,175 "," $61,445 "," $38,290 "," $44,577 "," $41,595 "," $26,523 "," $40,397 "," $32,653 "," $37,836 "," $40,962 "," $43,355 "," $43,802 "," $39,708 "," $57,028 "," $38,545 "," $38,781 "," $37,479 "," $41,033 "," $36,939 "," $34,259 "," $36,782 "," $81,689 "," $38,454 "," $36,628 "," $36,674 "," $41,976 "," $40,996 "," $40,721 "," $24,934 "," $32,434 "," $38,950 "," $35,926 "," $39,254 "," $38,729 "," $38,545 "," $38,381 "," $32,308 "," $35,705 "," $39,108 "," $40,738 ",
Land (Sq. Ft.),"10,000","10,463","10,000","10,625","7,785","13,788","7,749","11,633","7,749","8,206","7,749","9,821","7,546","17,505","8,057","12,611","7,749","7,795","7,749","7,785","7,587","7,792","7,714","7,636","7,872","7,778","7,872","7,944","7,872","7,951","7,872","7,958","7,872","7,966","7,872","7,973","7,872","7,980","7,501","7,988","8,309","7,635",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
